,table
itpr3,i
ip6k3,i
ier3,i
impact,i
ino80c,i
iws1,i
igip,i
ik,i
isoc1,i
iigp1,i
impa2,i
ier3ip1,i
ighmbp2,i
incenp,i
insl6,i
il33,i
ifit2,i
ifit3,i
ifit1bl1,i
ifit3b,i
ifit1bl2,i
ifit1,i
ide,i
ina,i
xrcc5,x
xpr1,x
xcl1,x
xrn2,x
xk,x
xiap,x
xpnpep2,x
xlr,x
xlr4a,x
xlr3a,x
xlr5a,x
xlr3b,x
xlr4b,x
xlr4c,x
xlr5c,x
xkrx,x
xpa,x
xkr8,x
xrcc2,x
xpc,x
xrcc1,x
xndc1,x
xntrpc,x
xylt1,x
xpo6,x
xpot,x
xab2,x
xkr5,x
xpo4,x
xkr6,x
xpo7,x
xrn1,x
xylb,x
xirp1,x
xcr1,x
xbp1,x
xpo1,x
xaf1,x
xylt2,x
xrcc4,x
xrcc3,x
xpnpep3,x
xrcc6,x
xxylt1,x
xpo5,x
xdh,x
xpnpep1,x
vcpip1,v
vwa3b,v
vil1,v
vps4b,v
vamp4,v
vangl2,v
vsig8,v
vash2,v
vim,v
vav2,v
vps18,v
vps39,v
vps16,v
vsx1,v
vapb,v
vma21,v
vbp1,v
vegfd,v
vps72,v
vps45,v
vangl1,v
vav3,v
vcam1,v
virma,v
vcp,v
vps13d,v
vamp3,v
vwa1,v
vsig10,v
vps29,v
vps33a,v
vps37b,v
vkorc1l1,v
vps37d,v
vgf,v
vps50,v
vmn1r4,v
vopp1,v
vamp5,v
vamp8,v
vax2,v
vhl,v
vgll4,v
vamp1,v
vwf,v
vmn1r81,v
vasp,v
vstm2b,v
vsig10l,v
vrk3,v
vps33b,v
vwa3a,v
vkorc1,v
vta1,v
vnn3,v
vsir,v
vps26a,v
vpreb3,v
vezt,v
vps36,v
vdac3,v
vps37a,v
vegfc,v
vps35,v
vps4a,v
vac14,v
vps9d1,v
vcl,v
vdac2,v
vstm4,v
vwa8,v
vstm5,v
vps26b,v
vsig2,v
vwa5a,v
vps11,v
vps13c,v
vill,v
vipr1,v
vwc2,v
vps54,v
vrk2,v
vdac1,v
vamp2,v
vmo1,v
vps53,v
vtn,v
vmp1,v
vezf1,v
vps25,v
vat1,v
vps41,v
vcan,v
vsnl1,v
vcpkmt,v
vti1b,v
vash1,v
vipas39,v
vrk1,v
vipr2,v
vps13b,v
vps28,v
vdr,v
vasn,v
vps8,v
vgll3,v
vmn2r90,v
vmn2r96,v
vmn2r97,v
vps52,v
vars,v
vwa7,v
vars2,v
vegfa,v
vmac,v
vav1,v
vapa,v
vit,v
vps51,v
vegfb,v
vwce,v
vps37c,v
vps13a,v
vldlr,v
vti1a,v
khdc1a,k
khdc1c,k
kcnq5,k
khdrbs2,k
kansl3,k
kctd18,k
klf7,k
kansl1l,k
kcne4,k
kcnj13,k
klhl30,k
kif1a,k
kdsr,k
klhdc8a,k
klhl12,k
kdm5b,k
kif21b,k
kif14,k
kcnt2,k
klhl20,k
kifap3,k
klhdc9,k
kcnj9,k
kcnj10,k
kmo,k
kif26b,k
kctd3,k
kcnk2,k
kcnh1,k
kin,k
kcnt1,k
kyat1,k
kynu,k
kif5c,k
kcnj3,k
kcnh7,k
klhl41,k
klhl23,k
kbtbd4,k
kcna4,k
kif18a,k
katnbl1,k
knstrn,k
knl1,k
kcnip3,k
kif16b,k
kat14,k
kiz,k
kif3b,k
kcns1,k
kcnb1,k
kcng1,k
kcnd1,k
kdm6a,k
klhl13,k
klhl15,k
kif4,k
klhl4,k
kdm5c,k
kantr,k
klf8,k
kctd12b,k
kcnab1,k
kpna4,k
kirrel,k
krtcap2,k
kcnn3,k
kcnd3,k
kcna3,k
kcna2,k
kyat3,k
klhl32,k
kif24,k
klf4,k
kdm4c,k
klhl9,k
kank4,k
kti12,k
kif2c,k
kdm4a,k
kcnq4,k
kpna6,k
khdrbs1,k
kdf1,k
kdm1a,k
kif17,k
klhdc7a,k
kazn,k
kif1b,k
klhl21,k
kcnab2,k
