,table
pramef12,p0
pramef12os,p0
plod1,p0
pex14,p0
pgd,p0
pik3cd,p0
park7,p0
per3,p0
phf13,p0
plekhg5,p0
prdm16,p0
pank4,p0
plch2,p0
pex10,p0
prkcz,p0
pusl1,p0
perm1,p0
plekhn1,p0
pex1,p0
pclo,p0
phtf2,p0
ptpn12,p0
pmpcb,p0
psmc2,p0
pus7,p0
prkag2,p0
prkag2os2,p0
prkag2os1,p0
paxip1,p0
preb,p0
ppm1g,p0
plb1,p0
ppp1cb,p0
pisd,p0
prr14l,p0
poln,p0
psapl1,p0
ppp2r2c,p0
ppp2r2cos,p0
prom1,p0
ppargc1a,p0
pi4k2b,p0
pcdh7,p0
pgm2,p0
pds5a,p0
phox2b,p0
pdgfra,p0
pdcl2,p0
ppat,p0
paics,p0
polr2b,p0
prr27,p0
prol1,p0
ppbp,p0
pf4,p0
parm1,p0
ppef2,p0
paqr3,p0
prdm8,p0
prkg2,p0
plac8,p0
ptpn13,p0
pkd2,p0
pigg,p0
pde6b,p0
pcgf3,p0
plcxd1,p0
pgam5,p0
pxmp2,p0
pole,p0
p2rx2,p0
pus1,p0
pitpnb,p0
pop5,p0
pla2g1b,p0
pxn,p0
prkab1,p0
pebp1,p0
plbd2,p0
ptpn11,p0
ppp1cc,p0
pptc7,p0
p2rx7,p0
p2rx4,p0
psmd9,p0
pitpnm2,p0
pitpnm2os2,p0
pitpnm2os1,p0
piwil1,p0
psph,p0
phkg1,p0
pom121,p0
por,p0
polr2j,p0
prkrip1,p0
plod3,p0
pop7,p0
pcolce,p0
ppp1r35,p0
pilra,p0
pilrb1,p0
pilrb2,p0
pvrig,p0
pdgfa,p0
prkar1b,p0
psmg3,p0
papolb,p0
pms2,p0
pdap1,p0
ptcd1,p0
polr1d,p0
plut,p0
pdx1,p0
pan3,p0
pomp,p0
pds5b,p0
peg10,p0
ppp1r9a,p0
pon1,p0
pon3,p0
pon2,p0
pdk4,p0
phf14,p0
ppp1r3a,p0
ptprz1,p0
pot1a,p0
pax4,p0
prrt4,p0
podxl,p0
plxna4,p0
plxna4os3,p0
plxna4os2,p0
plxna4os1,p0
ptn,p0
parp12,p0
prss37,p0
prss58,p0
prss3,p0
prss1,p0
prss2,p0
pip,p0
pdia4,p0
prr15,p0
plekha8,p0
ppp1r17,p0
pde1c,p0
ppm1k,p0
prdm5,p0
ptcd3,p0
polr1a,p0
pole4,p0
pcgf1,p0
paip2b,p0
pradc1,p0
pcyox1,p0
pcbp1,p0
prokr1,p0
podxl2,p0
plxna1,p0
prickle2,p0
prok2,p0
ppp4r2,p0
pdzrn3,p0
prrt3,p0
pparg,p0
plxnd1,p0
pex26,p0
phc1,p0
pex5,p0
phb2,p0
ptpn6,p0
p3h3,p0
ptms,p0
pianp,p0
plekhg6,p0
platr31,p0
parp11,p0
prmt8,p0
pzp,p0
prb1,p0
prpmp5,p0
prh1,p0
prp2,p0
pbp2,p0
plbd1,p0
pde6h,p0
ptpro,p0
pik3c2g,p0
plcz1,p0
plekha5,p0
pde3a,p0
pyroxd1,p0
ppfibp1,p0
pthlh,p0
prkcg,p0
prpf31,p0
pirb,p0
pira2,p0
ppp1r12c,p0
ptprh,p0
ppp6r1,p0
